Accuracy,Author,Date,Full_Text,Genre,Opponents,Participants,Race Number,Racer,Rank,Speed,Title,errors
94.8%,John Knowles,"Thu, 12 Sep 2019 17:47:15 +0000","Everyone has a moment in history which belongs particularly to him. It is the moment when his emotions achieve their most powerful sway over him, and afterward when you say to this person ""the world today"" or ""life"" or ""reality"" he will assume that you mean this moment, even if it is fifty years past. The world, through his unleashed emotions, imprinted itself upon him, and he carries the stamp of that passing moment forever.",book,peanut0718 (2nd place),5,4368,Liad (ozonzono),4,61 WPM Try,A Separate Peace,"[('Everyone', 'y instead of r'), ('a', 'm instead of a'), ('in', 'h instead of i'), ('belongs', ' instead of s'), ('him.', 'o instead of i'), ('over', 'f instead of v'), ('world', 'o instead of w'), ('or', 'f instead of r'), ('that', 'h instead of t'), ('you', 'u instead of o'), ('mean', 'u instead of o'), ('moment,', 'e instead of m'), ('if', 't instead of f'), ('fifty', 'g instead of t'), ('years', 'r instead of y'), ('past.', 'a instead of p'), ('through', 'o instead of r'), ('unleashed', 'i instead of e'), ('imprinted', 'r instead of p'), ('itself', 'n instead of t'), ('carries', 'i instead of r'), ('that', 'e instead of a'), ('passing', 's instead of i')]"
97.2%,Virgil,"Thu, 12 Sep 2019 17:48:00 +0000","So ran the speech. Burdened and sick at heart, he feigned hope in his look, and inwardly contained his anguish. Aeneas, more than any, secretly mourned for them all.",book,,5,4369,Liad (ozonzono),3,62 WPM Try,The Aeneid,"[('feigned', 'g instead of f'), ('anguish.', ' instead of .'), ('than', 'a instead of h'), ('mourned', 'n instead of r')]"
97.8%,Stanley Kubrick,"Thu, 12 Sep 2019 17:48:52 +0000","Wendy, let me explain something to you. Whenever you come in here and interrupt me, you're breaking my concentration. You're distracting me. And it will then take me time to get back to where I was. You understand?",movie,fastertypers (1st place) imjustbadattyping (3rd place),5,4370,Liad (ozonzono),2,66 WPM Try,The Shining,"[('you.', 'u instead of o'), ('Whenever', 'w instead of W'), ('understand?', 't instead of s')]"
96.5%,Konami,"Thu, 12 Sep 2019 17:50:02 +0000","Mankind continues to fight, but it is a desperate fight to stay alive. I suppose that he chose a life of warfare since that was the only way he knew. Like you, Father, he chose of a path of destruction... Farewell, land of my birth. Never again will these eyes gaze upon your beauty.",game,aregars (2nd place) lileo261 (3rd place),4,4371,Liad (ozonzono),1,66 WPM Try,Castlevania: Symphony of the Night,"[('Mankind', 'd instead of n'), ('continues', 'm instead of n'), ('desperate', 'i instead of e'), ('only', 'l instead of n'), ('Father,', 'e instead of h'), ('of', 'h instead of o'), ('destruction...', 's instead of e'), ('eyes', 'e instead of y')]"
96.0%,Tori Kelly,"Thu, 12 Sep 2019 17:50:53 +0000","I'll dive in the sky. Oh, the waters alive! I'll float down to soak in the stars. Swim away from the night. I am swallowed by light. Suddenly, love doesn't seem very far.",song,outofdeltav (1st place) rushil17chawla (4th place),5,4372,Liad (ozonzono),2,62 WPM Try,Celestial,"[('Swim', 'W instead of S'), ('from', 'o instead of r'), ('night.', ' instead of .'), ('Suddenly,', 'e instead of d'), (""doesn't"", ' instead of e'), ('very', 'a instead of e')]"
96.1%,Eurythmics,"Thu, 12 Sep 2019 17:51:37 +0000",Sweet dreams are made of this. Who am I to disagree? I travel the world and the seven seas. Everybody's looking for something.,song,wabdeali (1st place),5,4373,Liad (ozonzono),2,60 WPM Try,Sweet Dreams (Are Made Of This),"[('Sweet', 'W instead of w'), ('to', 'd instead of t'), ('seven', ' instead of e'), ('seas.', 's instead of a'), (""Everybody's"", 'V instead of v'), ('something.', 'i instead of h')]"
96.6%,"Marcus Aurelius, translated by Jeremy Collier and Alice Zimmern","Thu, 12 Sep 2019 17:52:14 +0000","Look thoroughly into matters, and let not the peculiar quality or intrinsic value of anything escape you.",book,,5,4374,Liad (ozonzono),1,61 WPM Try,Meditations,"[('thoroughly', 'r instead of o'), ('matters,', ' instead of ,'), ('quality', 'i instead of a'), ('intrinsic', 's instead of t')]"
96.0%,Alex Haley,"Thu, 12 Sep 2019 17:53:37 +0000","No, the goal of war is not to kill. The goal of war is to win. By surrounding the enemy, you would force him only to fight more desperately. If you surround him on three sides and leave him an escape route, he will leave your land and there will be less blood spilled on both sides. For a warrior of the Mandinka, courage is not enough.",movie,imjustbadattyping (1st place),4,4375,Liad (ozonzono),2,62 WPM Try,Roots,"[('surrounding', 'n instead of u'), ('enemy,', 'n instead of e'), ('fight', 'g instead of f'), ('more', 'o instead of m'), ('desperately.', 'r instead of e'), ('surround', 'n instead of u'), ('three', 'e instead of r'), ('leave', 'v instead of a'), ('leave', 'v instead of a'), ('spilled', 'e instead of l'), ('warrior', 'r instead of a'), ('courage', 'a instead of c'), ('enough.', 't instead of .')]"
95.9%,Kansas,"Fri, 13 Sep 2019 13:01:16 +0000","And though it's always been with me, I must tear down the wall and let it be. All I am, and all that I was ever meant to be, in harmony, shining true and smiling back at all who wait to cross. There is no loss.",song,msargsyan (4th place),5,4376,Liad (ozonzono),3,64 WPM Try,The Wall,"[('me,', '. instead of ,'), ('tear', 'f instead of t'), ('meant', 'v instead of m'), ('in', 'u instead of n'), ('shining', 'i instead of n'), ('true', 'h instead of r'), ('wait', 'i instead of a'), ('no', 'o instead of n')]"
96.1%,Frank Capra,"Sat, 14 Sep 2019 16:33:14 +0000","Now, hold on, Mr. Potter. You're right when you say my father was no businessman. I know that. Why he ever started this cheap, penny-ante Building and Loan, I'll never know. But neither you nor anyone else can say anything against his character, because his whole life was... why, in the 25 years since he and his brother, Uncle Billy, started this thing, he never once thought of himself.",movie,earthlink44 (2nd place),4,4377,Liad (ozonzono),3,61 WPM Try,It's a Wonderful Life,"[('Potter.', ' instead of .'), ('that.', ' instead of .'), ('Why', 'T instead of W'), ('cheap,', 'e instead of h'), ('Building', 'l instead of i'), ('Loan,', 'd instead of n'), (""I'll"", ""l instead of '""), ('never', 'l instead of n'), ('neither', 'i instead of e'), ('character,', 'a instead of h'), ('because', 'u instead of a'), ('life', 'i instead of l'), ('the', ' instead of e'), ('25', '6 instead of 5'), ('brother,', 'r instead of b')]"
96.9%,Ray Bradbury,"Sat, 14 Sep 2019 16:34:34 +0000","But no. She shook her head, an imperceptible, forgiving shrug. Her eyelids closed softly down upon her golden eyes. Marriage made people old and familiar, while still young. She lay back in a chair that moved to take her shape even as she moved. She closed her eyes tightly and nervously. The dream occurred.",book,randombadger (4th place) studentseng (1st place) zandrocraft (3rd place),5,4378,Liad (ozonzono),2,59 WPM Try,The Martian Chronicles,"[('But', 'U instead of u'), ('imperceptible,', 'r instead of e'), ('golden', 'r instead of n'), ('and', 'f instead of a'), ('still', ' instead of i'), ('chair', 'h instead of c'), ('shape', 'h instead of s'), ('she', 'a instead of s'), ('eyes', 'y instead of e'), ('tightly', 'l instead of t')]"
94.8%,William Shakespear,"Sat, 14 Sep 2019 18:23:22 +0000","But this rough magic I here abjure, and when I have required some heavenly music, which even now I do, to work mine end upon their senses that this airy charm is for, I'll break my staff, bury it certain fathoms in the earth, and deeper than did ever plummet sound I'll drown my book.",book,brandon316 (4th place) noktdchd (2nd place),4,4379,Liad (ozonzono),3,58 WPM Try,The Tempest,"[('this', 'e instead of s'), ('rough', 'b instead of g'), ('abjure,', 'u instead of j'), ('required', 'q instead of e'), ('heavenly', 'l instead of n'), ('even', 'n instead of e'), ('work', 'r instead of o'), ('senses', 'c instead of s'), ('charm', 'n instead of r'), ('for,', 'o instead of f'), (""I'll"", '"" instead of \''), ('fathoms', 's instead of m'), ('deeper', 'r instead of e'), ('drown', 'w instead of r')]"
98.2%,Eminem,"Sat, 14 Sep 2019 18:24:27 +0000","To my babies: stay strong. Daddy will be home soon. And to the rest of the world, God gave you them shoes that fit you, so put 'em on and wear 'em. Be yourself, man. Be proud of who you are. Even if it sounds corny, never let no one tell you you ain't beautiful.",song,brandon316 (3rd place) noktdchd (4th place) os123 (5th place),5,4380,Liad (ozonzono),2,64 WPM Try,Beautiful,"[('babies:', 'y instead of i'), ('proud', 'n instead of d'), ('no', 'o instead of n'), ('beautiful.', 'l instead of t')]"
96.4%,J.K. Rowling,"Sat, 14 Sep 2019 18:26:21 +0000","I took a wrong turn on the way to the bathroom and found myself in a beautifully proportioned room I had never seen before, containing a really rather magnificent collection of chamberpots. When I went back to investigate more closely, I discovered that the room had vanished. But I must keep an eye out for it. Possibly it is only accessible at five thirty in the morning. Or it may only appear at the quarter moon - or when the seeker has an exceptionally full bladder.",book,,4,4381,Liad (ozonzono),2,61 WPM Try,Harry Potter and the Goblet of Fire,"[('wrong', 'r instead of w'), ('bathroom', 'r instead of h'), ('proportioned', 't instead of r'), ('before,', '. instead of ,'), ('rather', 'e instead of r'), ('magnificent', 'd instead of c'), ('investigate', 'e instead of i'), ('discovered', 'v instead of c'), ('I', 'u instead of I'), ('must', 'j instead of m'), ('keep', ' instead of p'), ('appear', 'w instead of e'), ('quarter', 't instead of r'), ('moon', 'n instead of o'), ('or', '9 instead of o'), ('seeker', 's instead of e'), ('an', 'd instead of e'), ('exceptionally', 'i instead of t')]"
95.0%,Mark Twain,"Sat, 14 Sep 2019 18:27:27 +0000","Jim said that bees won't sting idiots, but I didn't believe that, because I tried them lots of times myself and they wouldn't sting me.",book,mrookie (2nd place) os123 (4th place) piyush072 (3rd place),5,4382,Liad (ozonzono),1,60 WPM Try,The Adventures of Huckleberry Finn,"[('Jim', 'u instead of i'), ('said', 'a instead of s'), ('bees', 'e instead of w'), ('idiots,', 'n instead of d'), ('I', '| instead of I')]"
96.0%,Eric S. Raymond,"Sat, 14 Sep 2019 18:28:39 +0000","Many introverted hackers who are next to inarticulate in person communicate with considerable fluency over the net, perhaps precisely because they can forget on an unconscious level that they are dealing with people and thus don't feel as stressed and anxious as they would face-to-face.",book,piyush072 (1st place),3,4383,Liad (ozonzono),3,62 WPM Try,The Jargon File,"[('hackers', ', instead of w'), ('communicate', 't instead of c'), ('perhaps', 'n instead of p'), ('precisely', 's instead of c'), ('because', 'i instead of u'), ('can', 'v instead of a'), ('forget', 't instead of g'), ('an', ' instead of n'), ('level', 'n instead of l'), ('people', 'o instead of e'), ('as', 'n instead of s'), ('they', ' instead of y')]"
98.0%,Foster The People,"Sat, 14 Sep 2019 18:30:48 +0000","All the other kids with the pumped up kicks, you'd better run, better run, outrun my gun. All the other kids with the pumped up kicks, you'd better run, better run, faster than my bullet.",song,piyush072 (4th place) scogx3281 (2nd place) theoriginalbrick (1st place) xangelin (3rd place),5,4384,Liad (ozonzono),5,61 WPM Try,Pumped Up Kicks,"[('other', 't instead of o'), (""you'd"", 't instead of y'), ('run,', 'u instead of r')]"
97.2%,Rikky Rooksby,"Sun, 15 Sep 2019 13:24:48 +0000","Rhymes trap you into saying things you don't want to say. A word like ""fire"" is a good example. Before you know it you're reaching for desire, or to get higher, or calling someone a liar, or putting them on a pyre, even if that wasn't what you were going to say.",book,postymaloney (1st place),4,4385,Liad (ozonzono),2,68 WPM Try,Lyrics: Writing Better Words for Your Songs,"[('Rhymes', 'y instead of h'), ('""fire""', '\' instead of ""'), ('example.', ' instead of .'), ('or', 'r instead of o'), ('calling', 'a instead of c'), ('pyre,', 't instead of r')]"
95.6%,"Larry David, Jerry Seinfeld","Sun, 15 Sep 2019 13:25:57 +0000","George: I can't return the book. It's been flagged in every Brentano's in town. So instead I'm going to steal it, return it, get my money back, and then everything will be even. Jerry: You defile one book, steal another, get your money back, and that seems even to you?",other,catnoodles (4th place),5,4386,Liad (ozonzono),3,59 WPM Try,Seinfeld,"[('every', ' instead of y'), (""Brentano's"", 't instead of n'), ('instead', 'd instead of s'), ('return', 'u instead of t'), ('back,', ' instead of ,'), ('will', 'e instead of i'), ('defile', 's instead of d'), ('one', ' instead of e'), ('your', 'r instead of u'), ('that', 'e instead of a'), ('seems', 'm instead of e'), ('you?', 'u instead of o')]"
97.3%,George Lucas,"Sun, 15 Sep 2019 13:26:46 +0000","I felt a great disturbance in the Force, as if millions of voices suddenly cried out in terror and were suddenly silenced. I fear something terrible has happened.",movie,bestboyna (4th place) racerboss (1st place),5,4387,Liad (ozonzono),5,61 WPM Try,Star Wars,"[('great', ' instead of r'), ('voices', 'i instead of o'), ('happened.', 'd instead of e')]"
94.8%,David Goggins,"Sun, 15 Sep 2019 15:45:12 +0000","It won't always go your way, so you can't get trapped in this idea that just because you've imagined a possibility for yourself that you somehow deserve it. Your entitled mind is dead weight. Cut it loose. Don't focus on what you think you deserve. Take aim on what you are willing to earn!",book,miras14 (1st place) zsorelle (4th place),5,4388,Liad (ozonzono),2,58 WPM Try,Can't Hurt Me: Master Your Mind and Defy the Odds,"[('just', ' instead of t'), ('because', ' instead of c'), (""you've"", 'r instead of v'), ('possibility', 'y instead of t'), ('for', 'o instead of f'), ('yourself', 's instead of r'), ('deserve', 'i instead of i'), ('Your', ' instead of r'), ('Cut', 'u instead of C'), ('focus', 'g instead of f'), ('aim', 'm instead of i'), ('what', 't instead of w'), ('are', 'w instead of a'), ('willing', ' instead of i')]"
96.1%,Anton Chekhov,"Sun, 15 Sep 2019 15:46:12 +0000","I was oppressed with a sense of vague discontent and dissatisfaction with my own life, which was passing so quickly and uninterestingly, and I kept thinking it would be a good thing if I could tear my heart out of my breast, that heart which had grown so weary of life.",book,miras14 (5th place) nraappa (2nd place) saikiranj (1st place),5,4389,Liad (ozonzono),3,64 WPM Try,The Stories of Anton Chekhov,"[('oppressed', 'r instead of p'), ('dissatisfaction', 's instead of d'), ('with', ' instead of h'), ('was', 'a instead of w'), ('uninterestingly,', 't instead of i'), ('thinking', 'h instead of t'), ('tear', 'm instead of r'), ('breast,', 'g instead of b'), ('grown', 'n instead of w')]"
98.5%,Queen,"Sun, 15 Sep 2019 15:47:21 +0000","So you think you can stone me and spit in my eye? So you think you can love me and leave me to die? Oh, baby, can't do this to me, baby! Just gotta get out, just gotta get right outta here! Nothing really matters, anyone can see. Nothing really matters. Nothing really matters to me, any way the wind blows.",song,miras14 (3rd place),5,4390,Liad (ozonzono),2,74 WPM Try,Bohemian Rhapsody,"[('stone', 'o instead of t'), ('leave', 'v instead of a'), ('gotta', 'g instead of g'), ('matters.', 'e instead of s'), ('Nothing', 'h instead of t')]"
95.9%,Quentin Tarantino,"Sun, 15 Sep 2019 15:48:37 +0000","Well, the way they make shows is, they make one show. That show's called a pilot. Then they show that show to the people who make shows, and on the strength of that one show they decide if they're going to make more shows. Some pilots get picked and become television programs. Some don't, become nothing. She starred in one of the ones that became nothing.",movie,xander360 (1st place),5,4391,Liad (ozonzono),2,67 WPM Try,Pulp Fiction,"[('they', ' instead of y'), ('one', ' instead of e'), ('pilot.', ' instead of .'), ('people', 'o instead of e'), ('show', 'w instead of s'), ('pilots', 's instead of t'), ('picked', 't instead of d'), (""don't,"", ' instead of ,'), ('nothing.', 't instead of n'), ('She', 'W instead of S'), ('the', 'e instead of h'), ('became', 'a instead of e')]"
95.6%,Steven Spielberg,"Sun, 15 Sep 2019 15:55:14 +0000","I believe that for every one of these anxious, anguished people who have come here this evening there must be hundreds of others also touched by the implanted vision who never made it this far. It's simply because they never watched the television. Or perhaps they watched it but never made the psychic connection.",movie,asimjalbani (4th place) forwardloop (2nd place) sappudappu (1st place),5,4392,Liad (ozonzono),3,66 WPM Try,Close Encounters of the Third Kind,"[('believe', 'v instead of b'), ('every', 'y instead of r'), ('anguished', 'e instead of s'), ('there', 'h instead of t'), ('hundreds', 'n instead of h'), ('others', 't instead of o'), ('touched', 'g instead of c'), ('this', 'f instead of t'), ('because', 's instead of u'), ('watched', 't instead of a'), ('the', 'e instead of h'), ('perhaps', 'h instead of r'), ('made', 'a instead of m')]"
96.3%,Rockstar Games,"Sun, 15 Sep 2019 15:56:13 +0000","So Michael, this is where dead men come back to life. It's been nearly ten years. But you'll keep for another day or so huh, old friend? I grieved for you! You weren't even dead. You were my best friend. Well, guess who's coming to your doorstep!",game,asimjalbani (2nd place),5,4393,Liad (ozonzono),1,68 WPM Try,Grand Theft Auto V,"[('life.', 'f instead of l'), ('nearly', 'e instead of n'), (""you'll"", 'u instead of o'), ('friend?', '. instead of ?'), (""weren't"", 'e instead of w'), ('even', ' instead of n'), ('friend.', 'v instead of f'), ('guess', 'b instead of g'), ('your', ' instead of r')]"
97.2%,Viktor Frankl,"Sun, 15 Sep 2019 15:57:52 +0000","Don't aim at success. The more you aim at it and make it a target, the more you are going to miss it. For success, like happiness, cannot be pursued; it must ensue, and it only does so as the unintended side effect of one's personal dedication to a cause greater than oneself or as the by-product of one's surrender to a person other than oneself. Happiness must happen, and the same holds for success: you have to let it happen by not caring about it.",book,s717s (2nd place),5,4394,Liad (ozonzono),1,67 WPM Try,Man's Search for Meaning,"[('aim', 'm instead of i'), ('at', ' instead of t'), ('aim', 'r instead of m'), ('you', 'a instead of a'), ('must', 'u instead of m'), ('so', ' instead of o'), ('unintended', 't instead of i'), ('to', 'o instead of t'), ('greater', 't instead of a'), ('oneself', 's instead of e'), ('by-product', 'f instead of r'), ('surrender', 't instead of d'), ('happen,', 'n instead of ,'), ('happen', 'e instead of a')]"
98.4%,"""Weird Al"" Yankovic","Sun, 15 Sep 2019 16:00:02 +0000",Once in a while maybe you will feel the urge to break international copyright law by downloading MP3s from file sharing sites like Morpheus or Grokster or LimeWire or Kazaa.,song,asimjalbani (2nd place),4,4395,Liad (ozonzono),1,68 WPM Try,Don't Download This Song,"[('a', 'h instead of w'), ('international', 'l instead of a'), ('law', 'w instead of a')]"
96.8%,"Sydney Newman, C. E. Webber, and Donald Wilson","Sun, 15 Sep 2019 16:02:46 +0000","No A-levels, no job, no future, but I'll tell you what I have got - Jericho Street Junior School's under-sevens gymnastics team. I won the bronze.",other,mrre1gn (3rd place),5,4396,Liad (ozonzono),2,58 WPM Try,Doctor Who,"[('A-levels,', ' instead of -'), ('job,', ' instead of ,'), ('got', 't instead of g'), ('team.', 'h instead of e')]"
96.3%,Anthony Russo,"Sun, 15 Sep 2019 16:03:44 +0000","With all six stones, I could simply snap my fingers, they would all cease to exist and I call that... mercy. And then what? I finally rest, and watch the sun rise on a grateful universe. The hardest choices require the strongest wills.",movie,asimjalbani (5th place) bolpo33 (2nd place) littlekitten7 (1st place) mrre1gn (3rd place),5,4397,Liad (ozonzono),4,63 WPM Try,Avengers: Infinity War,"[('stones,', ' instead of ,'), ('simply', 'e instead of y'), ('exist', 'e instead of a'), ('that...', 'a instead of h'), ('rest,', ' instead of ,'), ('grateful', 'e instead of a'), ('require', 'r instead of i'), ('the', 'h instead of t'), ('strongest', 'o instead of r')]"
94.9%,W.S. Gilbert and Arthur Sullivan,"Sun, 15 Sep 2019 16:04:53 +0000","Oh, better far to live and die under the brave black flag I fly, than play a sanctimonious part with a pirate head and a pirate heart. Away to the cheating world go you, where pirates all are well-to-do, but I'll be true to the song I sing, and live and die a pirate king.",other,asimjalbani (1st place),5,4398,Liad (ozonzono),2,62 WPM Try,The Pirates of Penzance,"[('brave', 'c instead of v'), ('flag', 't instead of g'), ('fly,', ' instead of ,'), ('sanctimonious', 'o instead of i'), ('pirate', 't instead of a'), ('pirate', 't instead of a'), ('cheating', 'a instead of e'), ('pirates', 'e instead of i'), ('well-to-do,', 'i instead of e'), ('but', 'e instead of u'), ('be', 'u instead of e'), ('song', 'I instead of I'), ('sing,', 'o instead of i')]"
96.4%,Peter Ackroyd,"Mon, 16 Sep 2019 09:01:24 +0000","Ideology: the process of making ideas. Certain artisans were chosen for this occupation at an early age and were trained in mental workhouses or asylums. They were known as idealists, and were expected to provide a fixed number of ideas to be exhibited or dramatised for the benefit of the public.",book,,4,4399,Liad (ozonzono),1,60 WPM Try,The Plato Papers,"[('the', 'h instead of t'), ('process', 'P instead of p'), ('were', 'a instead of w'), ('this', 'e instead of s'), ('were', ' instead of e'), ('were', ' instead of e'), ('provide', ' instead of e'), ('exhibited', 't instead of b'), ('dramatised', 'i instead of a'), ('of', 'i instead of o')]"
95.6%,XTC,"Mon, 16 Sep 2019 09:02:56 +0000",Peter Pumpkinhead came to town spreading wisdom and cash around. Fed the starving and housed the poor. Showed the Vatican what gold's for. But he made too many enemies of the people who would keep us on our knees. Hooray for Peter Pumpkin. Who'll pray for Peter Pumpkinhead?,song,slow_krish (2nd place),3,4400,Liad (ozonzono),3,57 WPM Try,The Ballad of Peter Pumpkinhead,"[('Pumpkinhead', 'k instead of p'), ('spreading', 'e instead of r'), ('wisdom', 'o instead of i'), ('cash', 'h instead of s'), ('around.', 'o instead of r'), ('Fed', 't instead of d'), ('the', 'a instead of e'), (""gold's"", ""' instead of d""), ('enemies', 'i instead of m'), ('Hooray', 'r instead of o'), ('pray', 'a instead of r')]"
98.1%,Shari Springer Berman and Robert Pulcini,"Mon, 16 Sep 2019 09:04:01 +0000","You know, I don't really know what to expect. Sometimes you look like a younger Brando... but then the way Crumb draws you, you look... like a hairy ape, with all these wavy, stinky lines undulating off your body. I don't really know what to expect.",movie,,3,4401,Liad (ozonzono),2,66 WPM Try,American Splendor,"[('Sometimes', 'e instead of m'), ('younger', 't instead of B'), ('these', 'e instead of h'), ('stinky', 'l instead of l'), ('really', 'e instead of r')]"
97.0%,James Burrows,"Mon, 16 Sep 2019 09:05:42 +0000","Don't you see? What these two people, who are such geniuses at romance, are trying to do is to get you to take your hair down, thinking that it will stimulate me like some sort of Pavlovian dog. So, why don't you just oblige them. Get this silliness over with so we can get on with our lives.",other,angryburger (1st place),5,4402,Liad (ozonzono),2,66 WPM Try,Cheers,"[('see?', 's instead of ?'), ('these', 'e instead of t'), ('romance,', ' instead of ,'), ('take', 'k instead of a'), ('hair', 'r instead of i'), ('it', 'f instead of t'), ('Get', 'u instead of e'), ('silliness', 'i instead of l'), ('with', 'i instead of w')]"
95.9%,James Burrows,"Mon, 16 Sep 2019 09:06:32 +0000",It's sad to say that kids unaccepted by their peers really never learn how to get along with people in the big grown up world.,other,mahe89 (5th place) queroin (2nd place),5,4403,Liad (ozonzono),1,66 WPM Try,Cheers,"[('unaccepted', 'd instead of c'), ('their', 'r instead of i'), ('peers', ' instead of s'), ('really', 'w instead of r'), ('get', ' instead of t'), ('grown', 'n instead of w')]"
95.9%,Toby Fox,"Mon, 16 Sep 2019 09:07:49 +0000","Allow me to tell you about some complex feelings. Feelings like the joy of finding another pasta lover. The admiration for another's puzzle-solving skills. The desire to have a cool, smart person think you are cool. These feelings... They must be what you are feeling right now! I can hardly imagine what it must be like to feel that way.",game,danielittlewood (1st place),5,4404,Liad (ozonzono),2,65 WPM Try,Undertale,"[('Allow', 'e instead of m'), ('me', 'e instead of m'), ('Feelings', 'l instead of e'), ('pasta', 'e instead of a'), ('puzzle-solving', 'l instead of o'), ('desire', 's instead of d'), ('smart', 'l instead of r'), ('are', 'w instead of r'), ('feeling', 'g instead of n'), ('now!', 'N instead of n'), ('must', ' instead of t'), ('be', 'l instead of l'), ('that', ' instead of t')]"
97.0%,Carrie Jacobs-Bond,"Mon, 16 Sep 2019 09:09:33 +0000","Well, this is the end of a perfect day, near the end of a journey, too. But it leaves a thought that is big and strong, with a wish that is kind and true. For memory has painted this perfect day with colors that never fade, and we find at the end of a perfect day the soul of a friend we've made.",song,,2,4405,Liad (ozonzono),1,67 WPM Try,A Perfect Day,"[('of', 'u instead of f'), ('near', 'e instead of n'), ('the', 'h instead of t'), ('strong,', 'o instead of r'), ('kind', 'm instead of k'), ('true.', 'u instead of r'), ('memory', 'r instead of o'), ('painted', 'n instead of i')]"
97.5%,Lois Lowry,"Mon, 16 Sep 2019 09:10:38 +0000","The wind was bitterly cold. The snow swirled, blurring his vision. But somewhere ahead, through the blinding storm, he knew there was warmth and light. Using his final strength, and a special knowledge that was deep inside him, Jonas found the sled that was waiting for them at the top of the hill.",book,philip_simpson (3rd place),4,4406,Liad (ozonzono),1,72 WPM Try,The Giver,"[('swirled,', 'e instead of l'), ('his', 't instead of h'), ('through', 'o instead of r'), ('blinding', 'k instead of d'), ('knew', 'w instead of e'), ('warmth', 'a instead of w'), ('was', ' instead of s')]"
96.5%,Walt Whitman,"Mon, 16 Sep 2019 09:11:57 +0000","I see something of God each hour of the twenty-four, and each moment then, in the faces of men and women I see God, and in my own face in the glass; I find letters from God dropped in the street, and every one is signed by God's name, and I leave them where they are, for I know that others will punctually come forever and ever.",book,elessarbre (1st place) queroin (5th place),5,4407,Liad (ozonzono),4,65 WPM Try,Leaves of Grass,"[('each', 'd instead of e'), ('of', 'f instead of o'), ('twenty-four,', 'h instead of w'), ('I', 'i instead of I'), ('I', 'f instead of f'), ('dropped', 'p instead of o'), ('street,', ', instead of t'), ('one', 'e instead of n'), ('signed', 'n instead of g'), ('where', 'e instead of h'), ('they', 'y instead of e'), ('punctually', ' instead of y'), ('come', 'e instead of m')]"
95.2%,Ray Bradbury,"Mon, 16 Sep 2019 09:12:45 +0000","You're not like the others. I've seen a few; I know. When I talk, you look at me. When I said something about the moon, you looked at the moon, last night.",book,queroin (2nd place),4,4408,Liad (ozonzono),1,61 WPM Try,Fahrenheit 451,"[('like', 'k instead of l'), ('others.', 't instead of o'), (""I've"", ""I instead of '""), ('few;', 'e instead of f'), ('talk,', ' instead of ,'), ('something', 'g instead of n'), ('the', 'h instead of t'), ('moon,', 'b instead of m')]"
96.9%,Barbara Hall,"Mon, 16 Sep 2019 09:13:37 +0000","The dude has a photographic memory. Every time he thinks he might forgive you, the image of you smashing his artwork just pops into his head. Not that I've discussed it with him.",other,elessarbre (1st place),5,4409,Liad (ozonzono),2,65 WPM Try,Joan of Arcadia,"[('photographic', 'h instead of p'), ('memory.', 'e instead of o'), ('head.', 'f instead of h'), (""I've"", 'i instead of I'), ('discussed', 'e instead of s')]"
98.7%,Twentieth Century-Fox Film Corporation,"Mon, 16 Sep 2019 09:14:30 +0000","I'm not very good at this, out, being in public. But I felt the need to speak up for this city that I love with all my heart. No one should have to live in fear, in fear of madmen who have no regard for who they injure.",other,,5,4410,Liad (ozonzono),3,72 WPM Try,Daredevil,"[('one', 'n instead of o'), ('for', 'w instead of f'), ('injure.', 'g instead of j')]"
96.9%,Chris Carter,"Mon, 16 Sep 2019 09:15:51 +0000","You think you find a way to deal with these things. In med school, you develop a clinical detachment to death. In your FBI training, you are confronted with cases, the most terrible and violent cases. You think you can look into the face of pure evil. And then you find yourself paralyzed by it.",other,mafuso (1st place),5,4411,Liad (ozonzono),4,62 WPM Try,The X-Files,"[('think', 'n instead of i'), ('med', 'n instead of m'), ('you', 'u instead of o'), ('detachment', 'a instead of d'), ('confronted', 'r instead of d'), ('violent', 'i instead of e'), ('pure', 'e instead of e'), ('by', 'i instead of y')]"
96.6%,"David Fincher, Beau Willimon","Mon, 16 Sep 2019 09:17:13 +0000","Such a waste of talent. He chose money over power - in this town, a mistake nearly everyone makes. Money is the McMansion in Sarasota that starts falling apart after 10 years. Power is the old stone building that stands for centuries. I cannot respect someone who does not see the difference.",other,abdoh (3rd place) dimirock (1st place),5,4412,Liad (ozonzono),2,63 WPM Try,Chapter 2 - House of Cards,"[('waste', 's instead of w'), ('money', 'y instead of o'), ('Sarasota', 't instead of s'), ('starts', 's instead of t'), ('after', 'w instead of a'), ('building', 'l instead of i'), ('that', ' instead of t'), ('stands', ' instead of s'), ('centuries.', 'r instead of u'), ('respect', 'p instead of s'), ('difference.', 'c instead of n')]"
97.7%,Billy Joel,"Mon, 16 Sep 2019 09:17:58 +0000","She can lead you to love, she can take you or leave you, she can ask for the truth, but she'll never believe. And she'll take what you give her as long as it's free.",song,bjwielink (1st place),5,4413,Liad (ozonzono),3,70 WPM Try,She's Always A Woman,"[('love,', ' instead of ,'), (""she'll"", ""l instead of '""), ('believe.', ' instead of .'), ('as', 's instead of a')]"
